person_id,preincarnation_id,create_date
4358,8342,2024-08-12 3:53:37
4358,467,2024-08-12 3:53:47
4358,10199,2024-08-12 3:54:03
4358,4261,2024-08-12 3:55:27
4358,7675,2024-08-12 3:56:32
4358,10065,2024-08-12 3:58:49
4358,5628,2024-08-12 4:00:00
4358,7443,2024-08-12 4:00:47
4358,2873,2024-08-12 4:03:46
4358,8964,2024-08-12 4:06:52
4358,3959,2024-08-12 4:08:19
4358,6285,2024-08-12 4:10:32
4358,3182,2024-08-12 4:11:32
4358,3164,2024-08-12 4:12:23
4358,5997,2024-08-12 4:13:03
4358,6738,2024-08-12 4:13:30
4358,7370,2024-08-12 4:14:07
4358,4630,2024-08-12 4:23:39
4358,7114,2024-08-12 4:23:47
4358,6194,2024-08-12 4:24:00
4358,10299,2024-08-12 4:27:25
4358,13891,2024-08-12 4:32:52
4358,2080,2024-08-12 4:35:17
4358,2137,2024-08-12 4:36:12
4358,2882,2024-08-12 4:36:20
4358,8750,2024-08-12 4:39:00
4358,2232,2024-08-12 4:39:12
4358,4344,2024-08-12 4:39:28
4358,5503,2024-08-12 4:40:14
4358,9041,2024-08-12 4:41:34
4358,3014,2024-08-12 4:46:22
4358,9633,2024-08-12 4:47:08
4358,2712,2024-08-13 3:15:27
4358,2738,2024-08-13 3:16:39
4358,1820,2024-08-13 3:21:40
4358,2993,2024-08-13 3:22:43
4358,9297,2024-08-13 3:22:53
6646,5644,2024-03-18 6:19:24
8651,10373,2024-03-18 6:26:29
8651,8495,2024-03-18 6:26:59
8651,10083,2024-03-18 6:27:06
9469,9265,2024-06-27 8:36:21
10019,8746,2024-08-12 12:22:01
10019,7776,2024-08-12 12:22:14
10019,13077,2024-08-12 12:22:29
10019,7326,2024-08-12 12:22:40
10019,6194,2024-08-12 12:22:55
10019,2589,2024-08-12 12:23:18
10019,11877,2024-08-12 12:23:29
10019,2051,2024-08-12 12:23:46
10019,8539,2024-08-12 12:25:04